Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Mousambi(Sweet Lime),Warangal,Mousambi,2000,2000,2000,03 Nov 2025,,For Free Price Alerts,2025-12-02
"Sesamum(Sesame,Gingelly,Til)",Warangal,White,8962,8962,8352,15 Oct 2025,,For Free Price Alerts,2025-12-02
"Sesamum(Sesame,Gingelly,Til)",Warangal,Black,7252,6000,6000,15 Oct 2025,,For Free Price Alerts,2025-12-02
Plum,Warangal,Plum,6000,6000,6000,25 Aug 2025,,For Free Price Alerts,2025-12-02
Jowar(Sorghum),Warangal,Jowar (Yellow),3052,3052,3052,14 Oct 2025,,For Free Price Alerts,2025-12-02
Apple,Warangal,Simla,8000,8000,8000,28 Sep 2025,,For Free Price Alerts,2025-12-02
Cowpea (Lobia/Karamani),Warangal,Cowpea (W-S),2529,2529,1522,23 Sep 2025,,For Free Price Alerts,2025-12-02
Sunflower,Warangal,Local,4052,4052,4052,22 Sep 2025,,For Free Price Alerts,2025-12-02
Castor Seed,Warangal,Castor seed,4552,4552,4552,26 Aug 2025,,For Free Price Alerts,2025-12-02
Jowar(Sorghum),Warangal,Jowar ( White),2722,2722,2722,26 Aug 2025,,For Free Price Alerts,2025-12-02
Karbuja(Musk Melon),Warangal,Karbhuja,3000,3000,3000,07 Aug 2025,,For Free Price Alerts,2025-12-02
Apple,Warangal,Other,17000,17000,17000,31 Jul 2025,,For Free Price Alerts,2025-12-02
Kinnow,Warangal,Kinnow,14000,14000,14000,25 Jul 2025,,For Free Price Alerts,2025-12-02
Mango,Warangal,Badami,3000,3000,3000,18 Jul 2025,,For Free Price Alerts,2025-12-02
Mango,Warangal,Totapuri,2000,2000,2000,15 Jul 2025,,For Free Price Alerts,2025-12-02
Dry Chillies,Warangal,Desi,15000,15000,7000,02 Jun 2025,,For Free Price Alerts,2025-12-02
Mango,Warangal,Dusheri,7500,7500,7500,16 May 2025,,For Free Price Alerts,2025-12-02
Turmeric,Warangal,Bulb,10459,10459,10459,04 Nov 2025,,For Free Price Alerts,2025-12-02
Turmeric,Warangal,Finger,8889,8889,5285,04 Nov 2025,,For Free Price Alerts,2025-12-02
Beetroot,Warangal,Beetroot,4000,3750,3500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Maize,Warangal,Local,1876,1601,1329,04 Nov 2025,,For Free Price Alerts,2025-12-02
Groundnut,Warangal,Gungri (With Shell),6500,6500,3500,04 Nov 2025,,For Free Price Alerts,2025-12-02
Bhindi(Ladies Finger),Warangal,Bhindi,5000,4750,4500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Bitter gourd,Warangal,Bitter Gourd,4000,3750,3500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Brinjal,Warangal,Brinjal,5000,4750,4500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Cabbage,Warangal,Cabbage,2500,2250,2000,06 Nov 2025,,For Free Price Alerts,2025-12-02
Capsicum,Warangal,Capsicum,6000,5750,5500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Carrot,Warangal,Carrot,6000,5750,5500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Cauliflower,Warangal,Cauliflower,4000,3750,3500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Colacasia,Warangal,Colacasia,3000,2750,2500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Cucumbar(Kheera),Warangal,Cucumbar,2500,2250,2000,06 Nov 2025,,For Free Price Alerts,2025-12-02
Field Pea,Warangal,Field Pea,6000,5750,5500,06 Nov 2025,,For Free Price Alerts,2025-12-02
French Beans (Frasbean),Warangal,French Beans (Frasbean),8000,7750,7500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Green Chilli,Warangal,Green Chilly,6000,5750,5500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Potato,Warangal,Potato,2500,2250,2000,06 Nov 2025,,For Free Price Alerts,2025-12-02
Ridgeguard(Tori),Warangal,Ridgeguard(Tori),5000,4750,4500,06 Nov 2025,,For Free Price Alerts,2025-12-02
Tomato,Warangal,Tomato,2000,1800,1600,06 Nov 2025,,For Free Price Alerts,2025-12-02
Grapes,Warangal,Black,5000,5000,5000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Guava,Warangal,Guava,3300,3300,3300,05 Nov 2025,,For Free Price Alerts,2025-12-02
Orange,Warangal,Orange,2500,2500,2500,05 Nov 2025,,For Free Price Alerts,2025-12-02
Papaya,Warangal,Papaya,2000,2000,2000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Pomegranate,Warangal,Pomogranate,13000,13000,13000,05 Nov 2025,,For Free Price Alerts,2025-12-02
Apple,Warangal,Delicious,9000,9000,9000,04 Nov 2025,,For Free Price Alerts,2025-12-02
Arhar (Tur/Red Gram)(Whole),Warangal,Local,5909,5909,5256,04 Nov 2025,,For Free Price Alerts,2025-12-02
Cotton,Warangal,Cotton (Unginned),6920,6300,5000,04 Nov 2025,,For Free Price Alerts,2025-12-02
Dry Chillies,Warangal,1st Sort,13600,12000,8000,04 Nov 2025,,For Free Price Alerts,2025-12-02
